"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8916,3.5325,3.9618,Too Few to Report,07/01/2019,06/30/2022
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,616,,1.1003,23.1263,21.0184,149,07/01/2019,06/30/2022
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,274,,0.9332,12.9044,13.8283,32,07/01/2019,06/30/2022
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,404,,0.9871,17.0529,17.2762,68,07/01/2019,06/30/2022
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,126,,0.9517,9.8131,10.3112,11,07/01/2019,06/30/2022
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,117,,0.9803,18.1837,18.5483,20,07/01/2019,06/30/2022
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-COPD-HRRP,137,,0.8784,16.2476,18.4967,14,07/01/2019,06/30/2022
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-PN-HRRP,285,,0.9497,15.2494,16.0567,40,07/01/2019,06/30/2022
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HF-HRRP,129,,0.9885,19.1975,19.4209,24,07/01/2019,06/30/2022
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.7977,3.7634,4.7181,Too Few to Report,07/01/2019,06/30/2022
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.2468,5.5173,4.4251,Too Few to Report,07/01/2019,06/30/2022
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,158,,0.9165,16.8035,18.3353,21,07/01/2019,06/30/2022
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-CABG-HRRP,89,,1.1330,12.8249,11.3197,15,07/01/2019,06/30/2022
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HF-HRRP,441,,0.9629,19.3905,20.1380,83,07/01/2019,06/30/2022
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-AMI-HRRP,273,,1.0472,12.3815,11.8232,36,07/01/2019,06/30/2022
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-PN-HRRP,472,,0.9731,16.2835,16.7340,75,07/01/2019,06/30/2022
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,N/A,,1.0385,20.9080,20.1338,Too Few to Report,07/01/2019,06/30/2022
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,N/A,,0.9804,14.3119,14.5980,Too Few to Report,07/01/2019,06/30/2022
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9918,4.3361,4.3719,Too Few to Report,07/01/2019,06/30/2022
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,N/A,,1.0329,17.5235,16.9657,Too Few to Report,07/01/2019,06/30/2022
