state,county,admission_type,discharge_destination,inpatient_days,medicare_reimbursement,patient_safety_indicator_(psi),readmissions
ALABAMA,AUTAUGA COUNTY,801.0,496.0,5.0,10449.0,0.0,18.0
ALABAMA,BALDWIN COUNTY,772.0,459.0,4.0,10975.0,0.0,15.0
ALABAMA,BARBOUR COUNTY,612.0,427.0,5.0,11736.0,0.0,15.0
ALABAMA,BIBB COUNTY,709.0,505.0,5.0,11205.0,0.0,15.0
ALABAMA,BLOUNT COUNTY,747.0,467.0,5.0,12273.0,0.0,
ALABAMA,BULLOCK COUNTY,747.0,430.0,6.0,11868.0,,
ALABAMA,BUTLER COUNTY,477.0,441.0,5.0,10917.0,0.0,15.0
ALABAMA,CALHOUN COUNTY,610.0,392.0,6.0,11095.0,0.0,16.0
ALABAMA,CHAMBERS COUNTY,289.0,408.0,6.0,12593.0,0.0,
ALABAMA,CHEROKEE COUNTY,706.0,449.0,5.0,11890.0,0.0,16.0
ALABAMA,CHILTON COUNTY,762.0,429.0,5.0,12351.0,0.0,
ALABAMA,CHOCTAW COUNTY,636.0,438.0,5.0,11951.0,,15.0
ALABAMA,CLARKE COUNTY,616.0,528.0,5.0,10528.0,,15.0
ALABAMA,CLAY COUNTY,605.0,460.0,4.0,10371.0,,15.0
ALABAMA,CLEBURNE COUNTY,699.0,448.0,6.0,12203.0,0.0,
ALABAMA,COFFEE COUNTY,595.0,413.0,4.0,10006.0,0.0,15.0
ALABAMA,COLBERT COUNTY,694.0,339.0,6.0,10456.0,0.0,15.0
ALABAMA,CONECUH COUNTY,552.0,493.0,4.0,8952.0,0.0,16.0
ALABAMA,COOSA COUNTY,653.0,458.0,5.0,12432.0,,
ALABAMA,COVINGTON COUNTY,698.0,413.0,4.0,10266.0,0.0,15.0
ALABAMA,CRENSHAW COUNTY,629.0,486.0,6.0,10525.0,,16.0
ALABAMA,CULLMAN COUNTY,823.0,398.0,5.0,11171.0,0.0,16.0
ALABAMA,DALE COUNTY,465.0,457.0,5.0,11596.0,0.0,16.0
ALABAMA,DALLAS COUNTY,834.0,454.0,5.0,12280.0,0.0,16.0
ALABAMA,DEKALB COUNTY,751.0,412.0,5.0,11551.0,0.0,15.0
ALABAMA,ELMORE COUNTY,667.0,499.0,5.0,11321.0,0.0,15.0
ALABAMA,ESCAMBIA COUNTY,716.0,451.0,4.0,10466.0,0.0,14.0
ALABAMA,ETOWAH COUNTY,779.0,422.0,5.0,10889.0,0.0,16.0
ALABAMA,FAYETTE COUNTY,614.0,358.0,5.0,11683.0,0.0,14.0
ALABAMA,FRANKLIN COUNTY,664.0,318.0,5.0,10117.0,0.0,16.0
ALABAMA,GENEVA COUNTY,538.0,413.0,5.0,11077.0,0.0,15.0
ALABAMA,GREENE COUNTY,653.0,429.0,6.0,11644.0,,16.0
ALABAMA,HALE COUNTY,687.0,412.0,5.0,11215.0,,15.0
ALABAMA,HENRY COUNTY,468.0,417.0,5.0,11305.0,0.0,
ALABAMA,HOUSTON COUNTY,499.0,445.0,5.0,10739.0,0.0,15.0
ALABAMA,JACKSON COUNTY,756.0,402.0,5.0,12238.0,0.0,14.0
ALABAMA,JEFFERSON COUNTY,802.0,454.0,6.0,13332.0,0.0,16.0
ALABAMA,LAMAR COUNTY,727.0,406.0,4.0,11126.0,0.0,
ALABAMA,LAUDERDALE COUNTY,748.0,372.0,6.0,11063.0,0.0,14.0
ALABAMA,LAWRENCE COUNTY,626.0,405.0,5.0,10068.0,0.0,15.0
ALABAMA,LEE COUNTY,369.0,465.0,6.0,12789.0,0.0,14.0
ALABAMA,LIMESTONE COUNTY,762.0,450.0,5.0,11279.0,0.0,14.0
ALABAMA,LOWNDES COUNTY,751.0,486.0,5.0,13089.0,,
ALABAMA,MACON COUNTY,433.0,534.0,6.0,13853.0,,
ALABAMA,MADISON COUNTY,833.0,457.0,5.0,10826.0,0.0,15.0
ALABAMA,MARENGO COUNTY,689.0,405.0,6.0,12287.0,,14.0
